"","time_window","goal_func","num_maxM_days","num_maxS_days","error_M","error_S","error","total_equivalent"
"1",10,0,0,498,1844064.9857133,0,1844064.9857133,"MaxS"
"2",10,0.45,0,498,1844056.80762747,8.1953332735601,1844048.61229419,"MaxS"
"3",10,0.5,0,498,1843914.06004895,155.724820137925,1843758.33522881,"MaxS"
"4",10,0.55,222,276,29976.5947077969,1874041.5804211,-1844064.9857133,"MaxM"
"5",10,0.6,224,274,29975.2596252553,1874040.18583586,-1844064.92621061,"MaxM"
"6",10,0.65,254,244,25431.5215769734,1869494.09978554,-1844062.57820857,"MaxM"
"7",10,0.75,242,256,22.2156909835053,1844085.34990675,-1844063.13421576,"MaxM"
"8",10,1,498,0,0,1844064.9857133,-1844064.9857133,"MaxM"
"9",25,0,0,498,1646001.80483299,0,1646001.80483299,"MaxS"
"10",25,0.45,0,498,1645967.50871659,34.5818318413141,1645932.92688474,"MaxS"
"11",25,0.5,2,496,134992.4884292,1780993.99278861,-1646001.50435941,"MaxM"
"12",25,0.55,348,150,134983.89460503,1780985.69943802,-1646001.80483299,"MaxM"
"13",25,0.6,356,142,134983.077691746,1780984.85996561,-1646001.78227387,"MaxM"
"14",25,0.65,356,142,134986.795235435,1780988.6000667,-1646001.80483126,"MaxM"
"15",25,0.75,0,0,0,0,0,"MaxS"
"16",25,1,498,0,0,1646001.80483299,-1646001.80483299,"MaxM"
