"","time_window","memory","goal_func","num_maxM_days","num_maxS_days","total_equivalent"
"1",10,5,0,0,996,"MaxS"
"2",10,0,0,0,996,"MaxS"
"3",10,5,0.45,0,996,"MaxS"
"4",10,0,0.45,0,996,"MaxS"
"5",10,5,0.5,0,996,"MaxS"
"6",10,0,0.5,0,996,"MaxS"
"7",10,5,0.55,402,594,"MaxS"
"8",10,0,0.55,402,594,"MaxS"
"9",10,5,0.6,402,594,"MaxS"
"10",10,0,0.6,402,594,"MaxS"
"11",10,5,0.65,384,612,"MaxS"
"12",10,0,0.65,384,612,"MaxS"
"13",10,5,1,996,0,"MaxS"
"14",10,0,1,996,0,"MaxS"
"15",25,5,0,0,996,"MaxS"
"16",25,0,0,0,996,"MaxS"
"17",25,5,0.45,4,992,"MaxS"
"18",25,0,0.45,4,992,"MaxS"
"19",25,5,0.5,70,926,"MaxS"
"20",25,0,0.5,70,926,"MaxS"
"21",25,5,0.55,580,416,"MaxS"
"22",25,0,0.55,580,416,"MaxS"
"23",25,5,0.6,566,430,"MaxS"
"24",25,0,0.6,566,430,"MaxS"
"25",25,5,0.65,592,404,"MaxS"
"26",25,0,0.65,592,404,"MaxS"
"27",25,5,1,996,0,"MaxS"
"28",25,0,1,996,0,"MaxS"
